asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0019,Sundarpada pole,pole,20.2388,85.8210,37.2,2026-09-15,R. K. Mishra,proposed,10,"{""height_m"": 11.5}"
PL-0020,Ghatikia pole,pole,20.2585,85.7704,52.1,2026-09-15,B. Sahoo,active,7,"{""height_m"": 9.3}"
VL-0001,Master canteen valve,valve,20.2689,85.8406,41.5,2026-09-10,A. Patnaik,active,8,"{""bore_mm"": 150}"
VL-0002,  AG square   valve,Valve,20.2755 N,85.8330,42.2,2026-09-10,R. K. Mishra,active,3,"{""bore_mm"": 100}"
VL-0003,Kalpana square valve,VALVE,20.2496,85.8419,,2026-09-11,S. Das,active,6,"{""bore_mm"": 200}"
VL-0004,Rajmahal valve,valve,20.2712,85.8310,41.8,2026-09-11,L. Jena,decommissioned,2,"{""bore_mm"": 80}"
VL-0005,CRP square valve,valve,20.2968,85.8188,45.0,2026-09-12,B. Sahoo,active,9,"{""bore_mm"": 250}"
VL-0006,Sainik school valve,valve,20.3095,85.8312,44.4,2026-09-12,A. Patnaik,active,5,"{""bore_mm"": 150}"
VL-0007,Nalco square valve,valve,20.3220,85.8195,46.1,2026-09-13,R. K. Mishra,active,7,"{""bore_mm"": 300}"
VL-0008,Kalinga stadium valve,valve,20.2914,85.8230,44.0,2026-09-13,S. Das,proposed,10,"{""bore_mm"": 200}"
VL-0009,Delta square valve,valve,20.2801,85.8377,42.6,2026-09-14,L. Jena,active,4,"{""bore_mm"": 125}"
VL-0010,Fire station valve,valve,20.2664,85.8448,41.0,2026-09-15,B. Sahoo,active,8,"{""bore_mm"": 150}"
MH-0001,Janpath chamber,manhole,20.2725,85.8362,41.7,2026-09-10,A. Patnaik,active,6,"{""depth_m"": 2.4}"
MH-0002,  lewis  road  chamber,Manhole,20.2502,85.8388,39.8,2026-09-11,R. K. Mishra,active,3,"{""depth_m"": 1.8}"
MH-0003,Forest park chamber,MANHOLE,20.2633 N,85.8266 E,,2026-09-11,S. Das,active,8,"{""depth_m"": 2.1}"
MH-0004,IRC village chamber,manhole,20.3077,85.8125,45.6,2026-09-12,L. Jena,active,7,"{""depth_m"": 2.6}"
MH-0005,Dumduma chamber,manhole,20.2448,85.7902,48.0,2026-09-12,B. Sahoo,decommissioned,0,"{""depth_m"": 1.5}"
MH-0006,Patrapada chamber,manhole,20.2390,85.7755,50.4,2026-09-13,A. Patnaik,active,5,"{""depth_m"": 2.0}"
MH-0007,Sailashree vihar chamber,manhole,20.3355,85.8144,47.2,2026-09-13,R. K. Mishra,active,9,"{""depth_m"": 2.8}"
MH-0008,Niladri vihar chamber,manhole,20.3488,85.8210,46.9,2026-09-14,S. Das,proposed,10,"{""depth_m"": 3.0}"
MH-0009,Mancheswar chamber,manhole,20.3102,85.8588,42.3,2026-09-14,L. Jena,active,4,"{""depth_m"": 1.9}"
MH-0010,VSS nagar chamber,manhole,20.2988,85.8495,43.1,2026-09-15,B. Sahoo,active,6,"{""depth_m"": 2.2}"
TR-0001,Unit 4 transformer,transformer,20.2766,85.8299,42.0,2026-09-10,A. Patnaik,active,7,"{""rating_kva"": 250}"
TR-0002,  BJB  college  transformer,Transformer,20.2618,85.8422,40.5,2026-09-10,R. K. Mishra,active,4,"{""rating_kva"": 100}"
TR-0003,KIIT transformer,TRANSFORMER,20.3548 N,85.8194,48.2,2026-09-11,S. Das,active,8,"{""rating_kva"": 500}"
TR-0004,AIIMS transformer,transformer,20.2315,85.7888,49.6,2026-09-11,L. Jena,active,9,"{""rating_kva"": 630}"
TR-0005,Baramunda transformer,transformer,20.2684,85.8001,46.0,2026-09-12,B. Sahoo,decommissioned,1,"{""rating_kva"": 63}"
TR-0006,Chandaka transformer,transformer,20.3602,85.7908,,2026-09-12,A. Patnaik,active,6,"{""rating_kva"": 315}"
TR-0007,Jatni feeder transformer,transformer,20.1610,85.7075,55.4,2026-09-13,R. K. Mishra,active,5,"{""rating_kva"": 200}"
TR-0008,Nandankanan transformer,transformer,20.4005,85.8218,44.7,2026-09-13,S. Das,proposed,10,"{""rating_kva"": 400}"
TR-0009,Cuttack road transformer,transformer,20.3058,85.8602,41.4,2026-09-14,L. Jena,active,3,"{""rating_kva"": 160}"
TR-0010,Pahala transformer,transformer,20.3255,85.8901,40.0,2026-09-14,B. Sahoo,active,8,"{""rating_kva"": 250}"
TR-0011,Hanspal transformer,transformer,20.3188,85.8720,40.9,2026-09-15,A. Patnaik,active,7,"{""rating_kva"": 200}"
TR-0012,Sisupalgarh transformer,transformer,20.2266,85.8544,38.8,2026-09-15,R. K. Mishra,active,2,"{""rating_kva"": 100}"
PL-0001,Duplicate north feeder pole,pole,20.2962,85.8246,45.0,2026-09-16,A. Patnaik,active,8,"{""height_m"": 9.1}"
,Unmarked chamber near market,manhole,20.2700,85.8400,41.0,2026-09-10,S. Das,active,5,"{""depth_m"": 2.0}"
pl-0142,Bad code format pole,pole,20.2800,85.8300,42.0,2026-09-10,L. Jena,active,6,"{""height_m"": 8.0}"
PL-0099,Latitude out of range pole,pole,95.0000,85.8245,40.0,2026-09-10,B. Sahoo,active,7,"{""height_m"": 8.0}"
PL-0098,Non numeric longitude pole,pole,20.2900,east of temple,41.0,2026-09-10,A. Patnaik,active,7,"{""height_m"": 8.0}"
PL-0097,Overscored condition pole,pole,20.2910,85.8250,41.0,2026-09-10,R. K. Mishra,active,14,"{""height_m"": 8.0}"
PL-0096,Blank condition pole,pole,20.2920,85.8260,41.0,2026-09-10,S. Das,active,,"{""height_m"": 8.0}"
PL-0095,Future dated pole,pole,20.2930,85.8270,41.0,2027-03-01,L. Jena,active,8,"{""height_m"": 8.0}"
PL-0094,Broken json pole,pole,20.2940,85.8280,41.0,2026-09-10,B. Sahoo,active,8,{height: 9
PL-0093,Unknown type pump house,pump,20.2950,85.8290,41.0,2026-09-10,A. Patnaik,active,8,"{""rating_kva"": 50}"
